ISO,REGION,COUNTRY,month_year,population,stringency_index,total_cases,total_deaths,total_tests
ARG,South America,Argentina,January 2020,45195777,11,0,0,432
ARG,South America,Argentina,February 2020,45195777,11,0,0,519
ARG,South America,Argentina,March 2020,45195777,100,1054,27,7189
ARG,South America,Argentina,April 2020,45195777,100,4428,218,70283
ARG,South America,Argentina,May 2020,45195777,94,16851,539,202421
ARG,South America,Argentina,June 2020,45195777,91,64530,1307,451600
ARG,South America,Argentina,July 2020,45195777,93,191302,3543,897932
ARG,South America,Argentina,August 2020,45195777,91,417735,8660,1557159
ARG,South America,Argentina,September 2020,45195777,88,751001,16937,2341345
ARG,South America,Argentina,October 2020,45195777,88,1166924,31002,3145538
ARG,South America,Argentina,November 2020,45195777,82,1424533,38730,3747469
ARG,South America,Argentina,December 2020,45195777,79,1625514,43245,4441507
ARG,South America,Argentina,January 2021,45195777,79,1927239,47974,5560477
ARG,South America,Argentina,February 2021,45195777,79,2107365,51965,6571436
ARG,South America,Argentina,March 2021,45195777,77,2348821,55858,7652627
ARG,South America,Argentina,April 2021,45195777,77,2977363,63865,9058020
ARG,South America,Argentina,May 2021,45195777,84,3781784,78093,10239120
ARG,South America,Argentina,June 2021,45195777,81,4470374,94304,11268523
ARG,South America,Argentina,July 2021,45195777,75,4929764,105721,12277344
ARG,South America,Argentina,August 2021,45195777,76,5066253,108569,12519696
AUS,Oceania,Australia,January 2020,25499881,6,9,0,0
AUS,Oceania,Australia,February 2020,25499881,19,25,0,0
AUS,Oceania,Australia,March 2020,25499881,71,4559,18,235802
AUS,Oceania,Australia,April 2020,25499881,73,6766,93,563641
AUS,Oceania,Australia,May 2020,25499881,69,7202,103,1454568
AUS,Oceania,Australia,June 2020,25499881,62,7920,104,2455982
AUS,Oceania,Australia,July 2020,25499881,75,17280,201,4235839
AUS,Oceania,Australia,August 2020,25499881,75,25819,657,6214453
AUS,Oceania,Australia,September 2020,25499881,75,27096,888,7637403
AUS,Oceania,Australia,October 2020,25499881,68,27595,907,8783761
AUS,Oceania,Australia,November 2020,25499881,55,27912,908,9996243
AUS,Oceania,Australia,December 2020,25499881,71,28425,909,11260636
AUS,Oceania,Australia,January 2021,25499881,71,28818,909,12951776
AUS,Oceania,Australia,February 2021,25499881,78,28978,909,14349465
AUS,Oceania,Australia,March 2021,25499881,75,29322,909,15613220
AUS,Oceania,Australia,April 2021,25499881,75,29811,910,16833395
AUS,Oceania,Australia,May 2021,25499881,75,30118,910,18398692
AUS,Oceania,Australia,June 2021,25499881,75,30643,910,20684917
AUS,Oceania,Australia,July 2021,25499881,68,34383,924,25032233
AUS,Oceania,Australia,August 2021,25499881,68,38165,949,27361145
BRA,South America,Brazil,February 2020,212559409,6,2,0,0
BRA,South America,Brazil,March 2020,212559409,75,5717,201,0
BRA,South America,Brazil,April 2020,212559409,77,87187,6006,222860
BRA,South America,Brazil,May 2020,212559409,81,514849,29314,547104
BRA,South America,Brazil,June 2020,212559409,77,1402041,59594,1478671
BRA,South America,Brazil,July 2020,212559409,81,2662485,92475,3156857
BRA,South America,Brazil,August 2020,212559409,74,3908272,121381,5183751
BRA,South America,Brazil,September 2020,212559409,70,4810935,143952,7547943
BRA,South America,Brazil,October 2020,212559409,67,5535605,159884,10722630
BRA,South America,Brazil,November 2020,212559409,61,6335878,173120,13794907
BRA,South America,Brazil,December 2020,212559409,67,7675973,194949,16969594
BRA,South America,Brazil,January 2021,212559409,73,9204731,224504,20144281
BRA,South America,Brazil,February 2021,212559409,76,10551259,254942,23011740
BRA,South America,Brazil,March 2021,212559409,71,12748747,321515,26186427
BRA,South America,Brazil,April 2021,212559409,71,14659011,403781,29258705
BRA,South America,Brazil,May 2021,212559409,66,16545554,462791,31716527
BRA,South America,Brazil,June 2021,212559409,66,18557141,518066,31716527
BRA,South America,Brazil,July 2021,212559409,61,19917855,556370,31716527
BRA,South America,Brazil,August 2021,212559409,57,20285067,566896,31716527
CAN,North America,Canada,January 2020,37742157,3,4,0,0
CAN,North America,Canada,February 2020,37742157,3,21,0,510
CAN,North America,Canada,March 2020,37742157,73,9246,152,178318
CAN,North America,Canada,April 2020,37742157,75,56716,4179,692108
CAN,North America,Canada,May 2020,37742157,73,92488,7906,1655117
CAN,North America,Canada,June 2020,37742157,71,106029,8780,2894567
CAN,North America,Canada,July 2020,37742157,69,118297,9025,4398108
CAN,North America,Canada,August 2020,37742157,67,130849,9193,6146834
CAN,North America,Canada,September 2020,37742157,67,162736,9391,8446021
CAN,North America,Canada,October 2020,37742157,63,238191,10276,11329993
CAN,North America,Canada,November 2020,37742157,71,382708,12239,14277692
CAN,North America,Canada,December 2020,37742157,71,587429,15762,17965095
CAN,North America,Canada,January 2021,37742157,75,783735,20041,21593178
CAN,North America,Canada,February 2021,37742157,75,871243,21990,24444017
CAN,North America,Canada,March 2021,37742157,75,989493,22960,27644520
CAN,North America,Canada,April 2021,37742157,75,1229305,24220,31479292
CAN,North America,Canada,May 2021,37742157,75,1389814,25528,34790069
CAN,North America,Canada,June 2021,37742157,74,1423170,26273,36768392
CAN,North America,Canada,July 2021,37742157,70,1438457,26560,38529118
CAN,North America,Canada,August 2021,37742157,61,1455141,26647,39199157
CHN,Asia,China,January 2020,1439323774,70,9790,213,0
CHN,Asia,China,February 2020,1439323774,81,79261,2835,0
CHN,Asia,China,March 2020,1439323774,82,81565,3305,0
CHN,Asia,China,April 2020,1439323774,74,82919,4633,0
CHN,Asia,China,May 2020,1439323774,82,83062,4634,0
CHN,Asia,China,June 2020,1439323774,82,83580,4634,99767442
