ISO,REGION,COUNTRY,month_year,population,cumulative_vaccinations_count
ARG,South America,Argentina,April 2020,45195777,0
ARG,South America,Argentina,April 2021,45195777,176010231
ARG,South America,Argentina,August 2020,45195777,176010231
ARG,South America,Argentina,August 2021,45195777,584869607
ARG,South America,Argentina,December 2020,45195777,584918676
ARG,South America,Argentina,February 2020,45195777,584918676
ARG,South America,Argentina,February 2021,45195777,602449904
ARG,South America,Argentina,January 2020,45195777,602449904
ARG,South America,Argentina,January 2021,45195777,608621876
ARG,South America,Argentina,July 2020,45195777,608621876
ARG,South America,Argentina,July 2021,45195777,1428518863
ARG,South America,Argentina,June 2020,45195777,1428518863
ARG,South America,Argentina,June 2021,45195777,1929371960
ARG,South America,Argentina,March 2020,45195777,1929371960
ARG,South America,Argentina,March 2021,45195777,2006542580
ARG,South America,Argentina,May 2020,45195777,2006542580
ARG,South America,Argentina,May 2021,45195777,2316517837
ARG,South America,Argentina,November 2020,45195777,2316517837
ARG,South America,Argentina,October 2020,45195777,2316517837
ARG,South America,Argentina,September 2020,45195777,2316517837
AUS,Oceania,Australia,April 2020,25499881,0
AUS,Oceania,Australia,April 2021,25499881,42373827
AUS,Oceania,Australia,August 2020,25499881,42373827
AUS,Oceania,Australia,August 2021,25499881,202293307
AUS,Oceania,Australia,December 2020,25499881,202293307
AUS,Oceania,Australia,February 2020,25499881,202293307
AUS,Oceania,Australia,February 2021,25499881,202407508
AUS,Oceania,Australia,January 2020,25499881,202407508
AUS,Oceania,Australia,January 2021,25499881,202407508
AUS,Oceania,Australia,July 2020,25499881,202407508
AUS,Oceania,Australia,July 2021,25499881,507603891
AUS,Oceania,Australia,June 2020,25499881,507603891
AUS,Oceania,Australia,June 2021,25499881,689105906
AUS,Oceania,Australia,March 2020,25499881,689105906
AUS,Oceania,Australia,March 2021,25499881,696562522
AUS,Oceania,Australia,May 2020,25499881,696562522
AUS,Oceania,Australia,May 2021,25499881,793782477
AUS,Oceania,Australia,November 2020,25499881,793782477
AUS,Oceania,Australia,October 2020,25499881,793782477
AUS,Oceania,Australia,September 2020,25499881,793782477
BRA,South America,Brazil,April 2020,212559409,0
BRA,South America,Brazil,April 2021,212559409,929797572
BRA,South America,Brazil,August 2020,212559409,929797572
BRA,South America,Brazil,August 2021,212559409,2737539217
BRA,South America,Brazil,December 2020,212559409,2737539217
BRA,South America,Brazil,February 2020,212559409,2737539217
BRA,South America,Brazil,February 2021,212559409,2886418754
BRA,South America,Brazil,January 2021,212559409,2897860458
BRA,South America,Brazil,July 2020,212559409,2897860458
BRA,South America,Brazil,July 2021,212559409,6670632938
BRA,South America,Brazil,June 2020,212559409,6670632938
BRA,South America,Brazil,June 2021,212559409,9151194567
BRA,South America,Brazil,March 2020,212559409,9151194567
BRA,South America,Brazil,March 2021,212559409,9553591779
BRA,South America,Brazil,May 2020,212559409,9553591779
BRA,South America,Brazil,May 2021,212559409,11235375947
BRA,South America,Brazil,November 2020,212559409,11235375947
BRA,South America,Brazil,October 2020,212559409,11235375947
BRA,South America,Brazil,September 2020,212559409,11235375947
CAN,North America,Canada,April 2020,37742157,0
CAN,North America,Canada,April 2021,37742157,282160864
CAN,North America,Canada,August 2020,37742157,282160864
CAN,North America,Canada,August 2021,37742157,885727247
CAN,North America,Canada,December 2020,37742157,886359693
CAN,North America,Canada,February 2020,37742157,886359693
CAN,North America,Canada,February 2021,37742157,923510462
CAN,North America,Canada,January 2020,37742157,923510462
CAN,North America,Canada,January 2021,37742157,940117331
CAN,North America,Canada,July 2020,37742157,940117331
CAN,North America,Canada,July 2021,37742157,2311170878
CAN,North America,Canada,June 2020,37742157,2311170878
CAN,North America,Canada,June 2021,37742157,3221528223
CAN,North America,Canada,March 2020,37742157,3221528223
CAN,North America,Canada,March 2021,37742157,3329466063
CAN,North America,Canada,May 2020,37742157,3329466063
CAN,North America,Canada,May 2021,37742157,3902804158
CAN,North America,Canada,November 2020,37742157,3902804158
CAN,North America,Canada,October 2020,37742157,3902804158
CAN,North America,Canada,September 2020,37742157,3902804158
CHN,Asia,China,April 2020,1439323774,0
CHN,Asia,China,April 2021,1439323774,5601118000
CHN,Asia,China,August 2020,1439323774,5601118000
CHN,Asia,China,August 2021,1439323774,26689633000
CHN,Asia,China,December 2020,1439323774,26740633000
