ISO,REGION,COUNTRY,month_year,population,new_cases,new_deaths,partially_vaccinated,fully_vaccinated
ARG,South America,Argentina,2020-04,45195777.0,3374,191,0,0
ARG,South America,Argentina,2021-04,45195777.0,628542,8007,152598938,23411293
ARG,South America,Argentina,2020-08,45195777.0,226433,5117,0,0
ARG,South America,Argentina,2021-08,45195777.0,136489,2848,284004198,89350044
ARG,South America,Argentina,2020-12,45195777.0,200981,4515,0,0
ARG,South America,Argentina,2020-02,45195777.0,0,0,0,0
ARG,South America,Argentina,2021-02,45195777.0,180126,3991,10836543,5850779
ARG,South America,Argentina,2020-01,45195777.0,0,0,0,0
ARG,South America,Argentina,2021-01,45195777.0,301725,4729,2901715,426347
ARG,South America,Argentina,2020-07,45195777.0,126772,2236,0,0
ARG,South America,Argentina,2021-07,45195777.0,459390,11417,654328262,165568725
ARG,South America,Argentina,2020-06,45195777.0,47679,768,0,0
ARG,South America,Argentina,2021-06,45195777.0,688590,16211,397778795,103074302
ARG,South America,Argentina,2020-03,45195777.0,1054,27,0,0
ARG,South America,Argentina,2021-03,45195777.0,241456,3893,61017852,14710931
ARG,South America,Argentina,2020-05,45195777.0,12423,321,0,0
ARG,South America,Argentina,2021-05,45195777.0,804421,14228,252335050,57640207
ARG,South America,Argentina,2020-11,45195777.0,257609,7728,0,0
ARG,South America,Argentina,2020-10,45195777.0,415923,14065,0,0
ARG,South America,Argentina,2020-09,45195777.0,333266,8277,0,0
AUS,Oceania,Australia,2020-04,25499881.0,2207,75,0,0
AUS,Oceania,Australia,2021-04,25499881.0,489,1,0,0
AUS,Oceania,Australia,2020-08,25499881.0,8539,456,0,0
AUS,Oceania,Australia,2021-08,25499881.0,3782,25,107064699,52854781
AUS,Oceania,Australia,2020-12,25499881.0,513,1,0,0
AUS,Oceania,Australia,2020-02,25499881.0,16,0,0,0
AUS,Oceania,Australia,2021-02,25499881.0,160,0,114201,0
AUS,Oceania,Australia,2020-01,25499881.0,9,0,0,0
AUS,Oceania,Australia,2021-01,25499881.0,393,0,0,0
AUS,Oceania,Australia,2020-07,25499881.0,9360,97,0,0
AUS,Oceania,Australia,2021-07,25499881.0,3740,14,216155821,81232693
AUS,Oceania,Australia,2020-06,25499881.0,718,1,0,0
AUS,Oceania,Australia,2021-06,25499881.0,525,0,120803621,19120821
AUS,Oceania,Australia,2020-03,25499881.0,4534,18,0,0
AUS,Oceania,Australia,2021-03,25499881.0,344,0,1287034,0
AUS,Oceania,Australia,2020-05,25499881.0,436,10,0,0
AUS,Oceania,Australia,2021-05,25499881.0,307,0,27872316,3774494
AUS,Oceania,Australia,2020-11,25499881.0,317,1,0,0
AUS,Oceania,Australia,2020-10,25499881.0,499,19,0,0
AUS,Oceania,Australia,2020-09,25499881.0,1277,231,0,0
BRA,South America,Brazil,2020-04,212559409.0,81470,5805,0,0
BRA,South America,Brazil,2021-04,212559409.0,1910264,82266,597706112,215220482
BRA,South America,Brazil,2020-08,212559409.0,1245787,28906,0,0
BRA,South America,Brazil,2021-08,212559409.0,367212,10526,883838369,360593160
BRA,South America,Brazil,2020-12,212559409.0,1340095,21829,0,0
BRA,South America,Brazil,2020-02,212559409.0,2,0,0,0
BRA,South America,Brazil,2021-02,212559409.0,1346528,30438,132246615,16616239
BRA,South America,Brazil,2021-01,212559409.0,1528758,29555,11323589,0
BRA,South America,Brazil,2020-07,212559409.0,1260444,32881,0,0
BRA,South America,Brazil,2021-07,212559409.0,1360714,38304,2582430491,951885347
BRA,South America,Brazil,2020-06,212559409.0,887192,30280,0,0
BRA,South America,Brazil,2021-06,212559409.0,2011587,55275,1327252751,548755946
BRA,South America,Brazil,2020-03,212559409.0,5715,201,0,0
BRA,South America,Brazil,2021-03,212559409.0,2197488,66573,265457921,83587072
BRA,South America,Brazil,2020-05,212559409.0,427662,23308,0,0
BRA,South America,Brazil,2021-05,212559409.0,1886543,59010,911027813,437114129
BRA,South America,Brazil,2020-11,212559409.0,800273,13236,0,0
BRA,South America,Brazil,2020-10,212559409.0,724670,15932,0,0
BRA,South America,Brazil,2020-09,212559409.0,902663,22571,0,0
CAN,North America,Canada,2020-04,37742157.0,47470,4027,0,0
CAN,North America,Canada,2021-04,37742157.0,239812,1260,255840738,26320126
CAN,North America,Canada,2020-08,37742157.0,12552,168,0,0
CAN,North America,Canada,2021-08,37742157.0,16684,87,325918091,277648292
CAN,North America,Canada,2020-12,37742157.0,204721,3523,632446,0
CAN,North America,Canada,2020-02,37742157.0,17,0,0,0
CAN,North America,Canada,2021-02,37742157.0,87508,1949,28415157,8735612
CAN,North America,Canada,2020-01,37742157.0,4,0,0,0
CAN,North America,Canada,2021-01,37742157.0,196306,4279,15588018,1018851
CAN,North America,Canada,2020-07,37742157.0,12268,245,0,0
CAN,North America,Canada,2021-07,37742157.0,15287,287,818585926,552467621
CAN,North America,Canada,2020-06,37742157.0,13541,874,0,0
CAN,North America,Canada,2021-06,37742157.0,33356,745,732490646,177866699
CAN,North America,Canada,2020-03,37742157.0,9225,152,0,0
CAN,North America,Canada,2021-03,37742157.0,118250,970,89045176,18892664
CAN,North America,Canada,2020-05,37742157.0,35772,3727,0,0
CAN,North America,Canada,2021-05,37742157.0,160509,1308,527747962,45590133
CAN,North America,Canada,2020-11,37742157.0,144517,1963,0,0
CAN,North America,Canada,2020-10,37742157.0,75455,885,0,0
CAN,North America,Canada,2020-09,37742157.0,31887,198,0,0
CHN,Asia,China,2020-04,1439323774.0,1354,1328,0,0
CHN,Asia,China,2021-04,1439323774.0,455,0,0,0
CHN,Asia,China,2020-08,1439323774.0,721,0,0,0
CHN,Asia,China,2021-08,1439323774.0,1257,0,0,0
CHN,Asia,China,2020-12,1439323774.0,529,0,0,0
CHN,Asia,China,2020-02,1439323774.0,69471,2622,0,0
CHN,Asia,China,2021-02,1439323774.0,349,0,0,0
CHN,Asia,China,2020-01,1439323774.0,9242,196,0,0
CHN,Asia,China,2021-01,1439323774.0,2494,2,0,0
CHN,Asia,China,2020-07,1439323774.0,803,0,0,0
CHN,Asia,China,2021-07,1439323774.0,1220,0,0,0
CHN,Asia,China,2020-06,1439323774.0,518,0,0,0
CHN,Asia,China,2021-06,1439323774.0,673,0,622000000,223299000
CHN,Asia,China,2020-03,1439323774.0,2304,470,0,0
CHN,Asia,China,2021-03,1439323774.0,305,0,0,0
CHN,Asia,China,2020-05,1439323774.0,143,1,0,0
CHN,Asia,China,2021-05,1439323774.0,453,0,0,0
CHN,Asia,China,2020-11,1439323774.0,545,0,0,0
CHN,Asia,China,2020-10,1439323774.0,585,0,0,0
CHN,Asia,China,2020-09,1439323774.0,354,0,0,0
DEU,Europe,Germany,2020-04,83783945.0,91201,5848,0,0
DEU,Europe,Germany,2021-04,83783945.0,561721,6508,470545185,160952924
DEU,Europe,Germany,2020-08,83783945.0,34403,156,0,0
DEU,Europe,Germany,2021-08,83783945.0,37611,194,622924459,544078808
DEU,Europe,Germany,2020-12,83783945.0,690608,17097,515866,3276
DEU,Europe,Germany,2020-02,83783945.0,74,0,0,0
DEU,Europe,Germany,2021-02,83783945.0,224636,12989,81387793,41419043
DEU,Europe,Germany,2020-01,83783945.0,5,0,0,0
DEU,Europe,Germany,2021-01,83783945.0,465139,23372,34267801,4390274
DEU,Europe,Germany,2020-07,83783945.0,14981,157,0,0
DEU,Europe,Germany,2021-07,83783945.0,40519,721,1535307030,1170314040
DEU,Europe,Germany,2020-06,83783945.0,12008,450,0,0
DEU,Europe,Germany,2021-06,83783945.0,46284,2344,1241770672,708451510
DEU,Europe,Germany,2020-03,83783945.0,71729,775,0,0
DEU,Europe,Germany,2021-03,83783945.0,393349,6437,216006545,97589984
DEU,Europe,Germany,2020-05,83783945.0,20401,1917,0,0
DEU,Europe,Germany,2021-05,83783945.0,284556,5504,946800681,313790046
DEU,Europe,Germany,2020-11,83783945.0,538122,6211,0,0
DEU,Europe,Germany,2020-10,83783945.0,238877,988,0,0
DEU,Europe,Germany,2020-09,83783945.0,48111,192,0,0
FRA,Europe,France,2020-04,67564251.0,116583,20823,0,0
FRA,Europe,France,2021-04,67564251.0,972767,8877,368658932,132863925
FRA,Europe,France,2020-08,67564251.0,93921,378,0,0
FRA,Europe,France,2021-08,67564251.0,279419,645,486225486,369058743
FRA,Europe,France,2020-12,67564251.0,400792,11940,3059,0
FRA,Europe,France,2020-02,67564251.0,95,2,0,0
FRA,Europe,France,2021-02,67564251.0,559719,10379,67806418,22048897
FRA,Europe,France,2020-01,67564251.0,5,0,0,0
FRA,Europe,France,2021-01,67564251.0,578254,11442,19252220,185866
FRA,Europe,France,2020-07,67564251.0,22995,422,0,0
FRA,Europe,France,2021-07,67564251.0,353069,811,1170941883,846458661
FRA,Europe,France,2020-06,67564251.0,13269,1041,0,0
FRA,Europe,France,2021-06,67564251.0,108477,1554,930741596,472755944
FRA,Europe,France,2020-03,67564251.0,52178,3524,0,0
FRA,Europe,France,2021-03,67564251.0,889429,9218,177847306,71007438
FRA,Europe,France,2020-05,67564251.0,22114,4456,0,0
FRA,Europe,France,2021-05,67564251.0,399620,5015,649045506,278126521
FRA,Europe,France,2020-11,67564251.0,862510,15992,0,0
FRA,Europe,France,2020-10,67564251.0,808471,4849,0,0
FRA,Europe,France,2020-09,67564251.0,284733,1332,0,0
GBR,Europe,United Kingdom,2020-04,67886004.0,139956,24297,0,0
GBR,Europe,United Kingdom,2021-04,67886004.0,72264,820,981553958,281854965
GBR,Europe,United Kingdom,2020-08,67886004.0,33290,315,0,0
GBR,Europe,United Kingdom,2021-08,67886004.0,325487,1067,516969974,431376792
GBR,Europe,United Kingdom,2020-12,67886004.0,862499,15077,1766824,0
GBR,Europe,United Kingdom,2020-02,67886004.0,59,0,0,0
GBR,Europe,United Kingdom,2021-02,67886004.0,360640,16716,426493831,16482586
GBR,Europe,United Kingdom,2020-01,67886004.0,2,0,0,0
GBR,Europe,United Kingdom,2021-01,67886004.0,1331952,32745,120461524,10086927
GBR,Europe,United Kingdom,2020-07,67886004.0,19577,795,0,0
GBR,Europe,United Kingdom,2021-07,67886004.0,1066123,1545,1429354980,1108108884
GBR,Europe,United Kingdom,2020-06,67886004.0,27677,2952,0,0
GBR,Europe,United Kingdom,2021-06,67886004.0,314067,359,1266471926,905384098
GBR,Europe,United Kingdom,2020-03,67886004.0,38754,2457,0,0
GBR,Europe,United Kingdom,2021-03,67886004.0,171155,3872,796985058,64689089
GBR,Europe,United Kingdom,2020-05,67886004.0,78768,10773,0,0
GBR,Europe,United Kingdom,2021-05,67886004.0,70985,270,1141131328,631832265
GBR,Europe,United Kingdom,2020-11,67886004.0,618941,11900,0,0
GBR,Europe,United Kingdom,2020-10,67886004.0,558947,4412,0,0
GBR,Europe,United Kingdom,2020-09,67886004.0,117765,644,0,0
IDN,Asia,Indonesia,2020-04,273523621.0,8590,656,0,0
IDN,Asia,Indonesia,2021-04,273523621.0,156656,4663,235454983,129284226
IDN,Asia,Indonesia,2020-08,273523621.0,66420,2286,0,0
IDN,Asia,Indonesia,2021-08,273523621.0,364497,19545,598220464,279129050
IDN,Asia,Indonesia,2020-12,273523621.0,204315,5193,0,0
IDN,Asia,Indonesia,2021-02,273523621.0,256320,6168,25305844,10800891
IDN,Asia,Indonesia,2021-01,273523621.0,335116,7860,2745497,60113
IDN,Asia,Indonesia,2020-07,273523621.0,51991,2255,0,0
IDN,Asia,Indonesia,2021-07,273523621.0,1231386,35628,1222210916,503083187
IDN,Asia,Indonesia,2020-06,273523621.0,29912,1263,0,0
IDN,Asia,Indonesia,2021-06,273523621.0,356569,7913,650934676,359100080
IDN,Asia,Indonesia,2020-03,273523621.0,1528,136,0,0
IDN,Asia,Indonesia,2021-03,273523621.0,177078,4692,111675817,47081553
IDN,Asia,Indonesia,2020-05,273523621.0,16355,821,0,0
IDN,Asia,Indonesia,2021-05,273523621.0,153335,5057,254564562,165817894
IDN,Asia,Indonesia,2020-11,273523621.0,128795,3076,0,0
IDN,Asia,Indonesia,2020-10,273523621.0,123080,3129,0,0
IDN,Asia,Indonesia,2020-09,273523621.0,112212,3323,0,0
IND,Asia,India,2020-04,1380004385.0,33466,1119,0,0
IND,Asia,India,2021-04,1380004385.0,6943304,48926,2610992915,427137196
IND,Asia,India,2020-08,1380004385.0,1995178,28777,0,0
IND,Asia,India,2021-08,1380004385.0,462002,5903,3903664286,1112252484
IND,Asia,India,2020-12,1380004385.0,823900,11373,0,0
IND,Asia,India,2020-02,1380004385.0,2,0,0,0
IND,Asia,India,2021-02,1380004385.0,354631,2765,221147508,16614639
IND,Asia,India,2020-01,1380004385.0,1,0,0,0
IND,Asia,India,2021-01,1380004385.0,470901,5398,28323206,0
IND,Asia,India,2020-07,1380004385.0,1110507,19111,0,0
IND,Asia,India,2021-07,1380004385.0,1244190,24892,8882182166,2247515772
IND,Asia,India,2020-06,1380004385.0,394872,11992,0,0
IND,Asia,India,2021-06,1380004385.0,2236590,67564,6464569904,1465485503
IND,Asia,India,2020-03,1380004385.0,1394,35,0,0
IND,Asia,India,2021-03,1380004385.0,1109424,5770,975578403,190428458
IND,Asia,India,2020-05,1380004385.0,155746,4254,0,0
IND,Asia,India,2021-05,1380004385.0,9010075,120042,4297974308,1134570993
IND,Asia,India,2020-11,1380004385.0,1278727,15510,0,0
IND,Asia,India,2020-10,1380004385.0,1871498,23433,0,0
IND,Asia,India,2020-09,1380004385.0,2621418,33390,0,0
ITA,Europe,Italy,2020-04,60461828.0,99671,15539,0,0
ITA,Europe,Italy,2021-04,60461828.0,437754,11461,316041448,133394145
ITA,Europe,Italy,2020-08,60461828.0,21677,342,0,0
ITA,Europe,Italy,2021-08,60461828.0,70401,271,473840201,397804035
ITA,Europe,Italy,2020-12,60461828.0,505612,18583,80275,0
ITA,Europe,Italy,2020-02,60461828.0,1126,29,0,0
ITA,Europe,Italy,2021-02,60461828.0,372233,9183,54291308,35016528
ITA,Europe,Italy,2020-01,60461828.0,2,0,0,0
ITA,Europe,Italy,2021-01,60461828.0,445866,14357,29326297,3190802
ITA,Europe,Italy,2020-07,60461828.0,6959,374,0,0
ITA,Europe,Italy,2021-07,60461828.0,90119,497,1131404448,789643411
ITA,Europe,Italy,2020-06,60461828.0,7581,1352,0,0
ITA,Europe,Italy,2021-06,60461828.0,42088,1438,896199569,454668246
ITA,Europe,Italy,2020-03,60461828.0,104664,12399,0,0
ITA,Europe,Italy,2021-03,60461828.0,659634,11647,156460372,69848057
ITA,Europe,Italy,2020-05,60461828.0,27534,5448,0,0
ITA,Europe,Italy,2021-05,60461828.0,195168,5321,595251414,277410782
ITA,Europe,Italy,2020-11,60461828.0,922124,16958,0,0
ITA,Europe,Italy,2020-10,60461828.0,364569,2724,0,0
ITA,Europe,Italy,2020-09,60461828.0,45647,411,0,0
JPN,Asia,Japan,2020-04,126476458.0,12029,414,0,0
JPN,Asia,Japan,2021-04,126476458.0,118623,1044,42684560,17571583
JPN,Asia,Japan,2020-08,126476458.0,32162,290,0,0
JPN,Asia,Japan,2021-08,126476458.0,163243,165,514831558,379560141
JPN,Asia,Japan,2020-12,126476458.0,86849,1216,0,0
JPN,Asia,Japan,2020-02,126476458.0,230,6,0,0
JPN,Asia,Japan,2021-02,126476458.0,41924,2136,86023,0
JPN,Asia,Japan,2020-01,126476458.0,13,0,0,0
JPN,Asia,Japan,2021-01,126476458.0,154355,2461,0,0
JPN,Asia,Japan,2020-07,126476458.0,17619,36,0,0
JPN,Asia,Japan,2021-07,126476458.0,126753,476,1348702600,867895932
JPN,Asia,Japan,2020-06,126476458.0,1864,74,0,0
JPN,Asia,Japan,2021-06,126476458.0,53117,1724,699505501,288527471
JPN,Asia,Japan,2020-03,126476458.0,2010,61,0,0
JPN,Asia,Japan,2021-03,126476458.0,42551,1266,9096198,540950
JPN,Asia,Japan,2020-05,126476458.0,2467,417,0,0
JPN,Asia,Japan,2021-05,126476458.0,153924,2807,200995768,69879472
JPN,Asia,Japan,2020-11,126476458.0,47635,307,0,0
JPN,Asia,Japan,2020-10,126476458.0,17736,194,0,0
JPN,Asia,Japan,2020-09,126476458.0,15195,277,0,0
KOR,Asia,South Korea,2020-04,51269183.0,988,86,0,0
KOR,Asia,South Korea,2021-04,51269183.0,18995,96,49525447,2307827
KOR,Asia,South Korea,2020-08,51269183.0,5846,23,0,0
KOR,Asia,South Korea,2021-08,51269183.0,20395,46,249921371,92796872
KOR,Asia,South Korea,2020-12,51269183.0,27117,391,0,0
KOR,Asia,South Korea,2020-02,51269183.0,3139,16,0,0
KOR,Asia,South Korea,2021-02,51269183.0,11523,180,64633,0
KOR,Asia,South Korea,2020-01,51269183.0,10,0,0,0
KOR,Asia,South Korea,2021-01,51269183.0,16739,508,0,0
KOR,Asia,South Korea,2020-07,51269183.0,1486,19,0,0
KOR,Asia,South Korea,2021-07,51269183.0,42064,77,509492536,195127184
KOR,Asia,South Korea,2020-06,51269183.0,1347,11,0,0
KOR,Asia,South Korea,2021-06,51269183.0,16924,58,367526665,104677316
