COUNTRY,month_year,Public health measures,Movement restrictions,Social distancing,Governance and socio-economic measures,Lockdown,Humanitarian exemption,population,stringency_index,total_cases,total_deaths,total_tests,new_cases,new_deaths,partially_vaccinated,fully_vaccinated
Argentina,2020-02,1,0,0,0,0,0,45195777,11,0,0,517,0,0,0,0
Argentina,2020-03,1,1,1,1,1,0,45195777,100,1054,27,7189,1054,27,0,0
Argentina,2020-04,1,1,0,1,1,0,45195777,100,4428,218,70283,3374,191,0,0
Argentina,2020-05,1,1,1,1,1,0,45195777,94,16851,539,202421,12423,321,0,0
Argentina,2020-06,1,1,1,1,1,0,45195777,91,64530,1307,451600,47679,768,0,0
Argentina,2020-07,1,1,1,1,1,0,45195777,93,191302,3543,897932,126772,2236,0,0
Argentina,2020-08,1,1,1,1,1,1,45195777,91,417735,8660,1557159,226433,5117,0,0
Argentina,2020-09,1,1,1,1,0,0,45195777,88,751001,16937,2341345,333266,8277,0,0
Argentina,2020-10,1,1,0,0,0,0,45195777,88,1166924,31002,3145538,415923,14065,0,0
Argentina,2020-11,1,0,1,0,0,0,45195777,82,1424533,38730,3747469,257609,7728,0,0
Australia,2020-02,0,0,0,1,0,0,25499881,19,25,0,0,16,0,0,0
Australia,2020-03,1,1,1,1,1,0,25499881,71,4559,18,211261,4534,18,0,0
Australia,2020-04,1,1,1,1,0,0,25499881,73,6766,93,563641,2207,75,0,0
Australia,2020-05,1,1,1,1,0,0,25499881,69,7202,103,1454568,436,10,0,0
Australia,2020-06,1,1,1,1,0,0,25499881,62,7920,104,2455982,718,1,0,0
Australia,2020-07,1,1,1,1,1,0,25499881,75,17280,201,4164454,9360,97,0,0
Australia,2020-08,1,1,1,1,1,0,25499881,75,25819,657,6214453,8539,456,0,0
Australia,2020-09,1,1,1,1,1,0,25499881,75,27096,888,7637403,1277,231,0,0
Australia,2020-10,1,1,1,1,1,0,25499881,68,27595,907,8700911,499,19,0,0
Australia,2020-11,1,1,1,1,1,0,25499881,55,27912,908,9996243,317,1,0,0
Australia,2020-12,1,1,1,1,0,0,25499881,71,28425,909,11260636,513,1,0,0
Australia,2021-01,0,0,0,1,0,0,25499881,71,28818,909,12951776,393,0,0,0
Brazil,2020-03,1,1,1,1,0,0,212559409,75,5717,201,0,5715,201,0,0
Brazil,2020-04,1,1,1,1,1,0,212559409,77,87187,6006,132467,81470,5805,0,0
Brazil,2020-05,1,1,1,1,1,0,212559409,81,514849,29314,485000,427662,23308,0,0
Brazil,2020-06,1,1,1,1,0,0,212559409,77,1402041,59594,1478671,887192,30280,0,0
Brazil,2020-07,1,1,1,0,0,0,212559409,81,2662485,92475,2678927,1260444,32881,0,0
Brazil,2020-08,1,1,1,0,0,0,212559409,74,3908272,121381,5183751,1245787,28906,0,0
Brazil,2020-10,0,1,0,0,0,0,212559409,67,5535605,159884,0,724670,15932,0,0
Brazil,2020-11,1,1,0,0,0,0,212559409,61,6335878,173120,0,800273,13236,0,0
Brazil,2020-12,0,1,1,0,0,0,212559409,67,7675973,194949,0,1340095,21829,0,0
Canada,2020-01,1,0,0,1,0,0,37742157,3,4,0,0,4,0,0,0
Canada,2020-02,1,1,0,1,0,0,37742157,3,21,0,510,17,0,0,0
Canada,2020-03,1,1,1,1,0,0,37742157,73,9246,152,178318,9225,152,0,0
Canada,2020-04,1,0,1,1,0,0,37742157,75,56716,4179,692108,47470,4027,0,0
Canada,2020-05,1,1,1,1,0,0,37742157,73,92488,7906,1655117,35772,3727,0,0
Canada,2020-06,1,1,1,1,0,0,37742157,71,106029,8780,2894567,13541,874,0,0
Canada,2020-07,0,1,1,1,0,0,37742157,69,118297,9025,4398108,12268,245,0,0
Canada,2020-08,1,0,1,1,0,0,37742157,67,130849,9193,6146834,12552,168,0,0
Canada,2020-09,1,1,0,1,0,0,37742157,67,162736,9391,8446021,31887,198,0,0
Canada,2020-10,1,1,0,1,0,0,37742157,63,238191,10276,11329993,75455,885,0,0
Canada,2020-11,1,1,0,1,0,0,37742157,71,382708,12239,14277692,144517,1963,0,0
Canada,2020-12,1,1,0,1,0,0,37742157,71,587429,15762,17965095,204721,3523,632446,0
China,2020-01,1,1,1,1,0,0,1439323774,70,9790,213,0,9242,196,0,0
China,2020-02,1,0,0,0,0,0,1439323774,81,79261,2835,0,69471,2622,0,0
China,2020-03,1,1,0,1,0,0,1439323774,82,81565,3305,0,2304,470,0,0
China,2020-04,1,1,1,1,0,0,1439323774,74,82919,4633,0,1354,1328,0,0
China,2020-05,1,1,1,1,1,0,1439323774,82,83062,4634,0,143,1,0,0
China,2020-06,1,0,1,1,1,0,1439323774,82,83580,4634,90000000,518,0,0,0
China,2020-07,1,1,1,1,0,0,1439323774,78,84383,4634,0,803,0,0,0
China,2020-08,1,1,1,0,0,0,1439323774,78,85104,4634,160000000,721,0,0,0
China,2020-09,1,0,0,0,0,0,1439323774,82,85458,4634,0,354,0,0,0
France,2020-02,0,0,1,1,0,0,67564251,35,100,2,0,95,2,0,0
France,2020-03,1,1,1,1,1,0,67564251,88,52278,3526,0,52178,3524,0,0
France,2020-04,1,1,1,1,1,0,67564251,88,169098,24349,0,116583,20823,0,0
France,2020-05,1,1,1,1,1,0,67564251,88,190975,28805,0,22114,4456,0,0
France,2020-06,1,1,1,1,0,0,67564251,75,204244,29846,0,13269,1041,0,0
France,2020-07,1,1,1,1,0,0,67564251,52,227239,30268,0,22995,422,0,0
France,2020-08,1,0,0,1,0,0,67564251,48,321160,30646,0,93921,378,0,0
France,2020-09,1,0,1,1,0,0,67564251,50,605893,31978,0,284733,1332,0,0
France,2020-10,1,0,1,0,0,0,67564251,79,1414364,36827,0,808471,4849,0,0
Germany,2020-02,1,1,0,0,0,0,83783945,25,79,0,0,74,0,0,0
Germany,2020-03,1,1,1,1,1,0,83783945,77,71808,775,881424,71729,775,0,0
Germany,2020-04,1,1,1,1,1,0,83783945,77,163009,6623,2388953,91201,5848,0,0
Germany,2020-05,1,1,1,1,0,0,83783945,77,183410,8540,4298639,20401,1917,0,0
Germany,2020-06,1,1,1,1,1,0,83783945,63,195418,8990,5826604,12008,450,0,0
Germany,2020-07,1,1,1,1,1,0,83783945,63,210399,9147,7953998,14981,157,0,0
Germany,2020-08,1,1,1,1,0,0,83783945,60,244802,9303,12301938,34403,156,0,0
Germany,2020-09,1,0,1,1,0,0,83783945,60,292913,9495,16871503,48111,192,0,0
Germany,2020-10,1,1,1,1,0,0,83783945,61,531790,10483,21949430,238877,988,0,0
Germany,2020-11,1,0,0,0,0,0,83783945,68,1069912,16694,29496867,538122,6211,0,0
India,2020-01,1,1,1,0,1,0,1380004385,10,1,0,0,1,0,0,0
India,2020-02,1,1,0,0,0,0,1380004385,10,3,0,0,2,0,0,0
India,2020-03,1,1,1,1,1,0,1380004385,100,1397,35,27688,1394,35,0,0
India,2020-04,1,1,1,1,1,0,1380004385,100,34863,1154,830201,33466,1119,0,0
India,2020-05,1,1,1,1,1,0,1380004385,96,190609,5408,3737027,155746,4254,0,0
India,2020-06,1,1,0,1,1,0,1380004385,88,585481,17400,8608654,394872,11992,0,0
India,2020-07,1,0,0,1,0,0,1380004385,88,1695988,36511,18832970,1110507,19111,0,0
India,2020-08,1,1,0,1,0,0,1380004385,86,3691166,65288,42307914,1995178,28777,0,0
India,2020-09,0,1,0,1,0,0,1380004385,86,6312584,98678,74196729,2621418,33390,0,0
Indonesia,2020-08,1,1,0,0,0,0,273523621,62,174796,7417,1282618,66420,2286,0,0
Indonesia,2020-03,1,1,0,0,1,0,273523621,51,1528,136,6663,1528,136,0,0
Indonesia,2020-04,1,1,1,0,0,0,273523621,80,10118,792,72351,8590,656,0,0
Indonesia,2020-05,1,1,1,1,1,0,273523621,80,26473,1613,223624,16355,821,0,0
Indonesia,2020-06,1,0,0,0,0,0,273523621,72,56385,2876,477318,29912,1263,0,0
Indonesia,2020-07,1,1,1,1,0,0,273523621,62,108376,5131,866539,51991,2255,0,0
Indonesia,2020-09,1,1,1,0,0,0,273523621,73,287008,10740,1993694,112212,3323,0,0
Italy,2020-01,1,1,0,1,0,0,60461828,19,2,0,0,2,0,0,0
Italy,2020-02,1,0,1,1,0,0,60461828,70,1128,29,18661,1126,29,0,0
